"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","Hide","Notes"
"azure-mgmt-privatedns","0.1.0","","Resource Management - Private DNS","DNS","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-privatedns_0.1.0/azure-mgmt-privatedns/","NA","","","",""
"azure-mgmt-rdbms","2.2.0","","Resource Management - Rdbms","Rdbms","rdbms","https://docs.microsoft.com/python/api/overview/azure/postgresql-mysql","","","",""
"azure-mgmt-recoveryservices","0.5.0","","Resource Management - Recovery Services","Recovery Services","recoveryservices","NA","","","",""
"azure-mgmt-recoveryservicesbackup","0.8.0","","Resource Management - Recovery Services Backup","Recovery Services","recoveryservices","https://docs.microsoft.com/python/api/overview/azure/recovery-services-backup","","","",""
"azure-mgmt-redhatopenshift","0.1.0","","Resource Management - Red Hat OpenShift","Red Hat OpenShift","redhatopenshift","NA","","","",""
"azure-mgmt-redis","6.0.0","","Resource Management - Redis","Redis","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-redis_6.0.0/azure-mgmt-redis/","https://docs.microsoft.com/python/api/overview/azure/redis","","","",""
"azure-mgmt-regionmove","","1.0.0b1","Resource Management - Region Move","Region Move","NA","NA","","","",""
"azure-mgmt-relay","0.2.0","","Resource Management - Relay","Relay","relay","NA","","","",""
"azure-mgmt-reservations","0.8.0","","Resource Management - Reservations","Reservations","reservations","NA","","","",""
"azure-mgmt-resourcegraph","2.0.0","","Resource Management - Resource Graph","Resources","resources","NA","","","",""
"azure-mgmt-resourcemover","","1.0.1b1","Resource Management - Resource Mover","Resource Mover","NA","NA","","","",""
"azure-mgmt-scheduler","2.0.0","","Resource Management - Scheduler","Scheduler","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-scheduler_2.0.0/azure-mgmt-scheduler/","https://docs.microsoft.com/python/api/overview/azure/scheduler","NA","","",""
"azure-mgmt-search","3.0.0","","Resource Management - Search","Search","search","https://docs.microsoft.com/python/api/overview/azure/search","","","",""
"azure-mgmt-security","0.4.1","","Resource Management - Security","Security","security","","","","",""
"azure-mgmt-serialconsole","0.1.0","","Resource Management - Serial Console","Serial Console","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-serialconsole_0.1.0/azure-mgmt-serialconsole/","NA","","","",""
